Fila PDF,ID,Nombre español,Nombre original,Alternativos originales,Punto personal,Significador,Disparador,Fórmula diurna propuesta,Fórmula nocturna propuesta,Reverse Nocturnal literal,Fuente primaria,Fuentes secundarias,Categorías originales,Dub.,Mult.,Variantes manuscritas,Estado,Advertencias
193,lusby-traditional-0193,Melones,Melons,"Melons, Watermelons, Cucumbers & Gourds",Asc,Saturn,Mercury,normalizar360(Asc + Saturn − Mercury),normalizar360(Asc + Saturn − Mercury),,Q,"BW, GB","Medieval, Commodity",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
194,lusby-traditional-0194,Expedición militar,Military Expedition,Horsemanship & Courage; War & Fighting,Asc,Moon,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (MSL),DS,"HT, MSL, TE, GI, Q, B","Hellenistic, Medieval, Mundane",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Códigos sin entrada inequívoca en Sources: HT. No se expandieron por suposición. | Regla nocturna especial: reverse (MSL). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
195,lusby-traditional-0195,Servicio militar (Firmicus),Military Service (Firmicus),,Asc,Sun,Mars,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (MSP, MSV)",FM,"MSP, MSV",Hellenistic,,,,conditional,"Regla nocturna especial: reverse (MSP, MSV). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
196,lusby-traditional-0196,Servicio militar (Laurentianus),Military Service (Laurentianus),,Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mercury − Mars),reverse,MSL,,Hellenistic,,,,pending_review,
197,lusby-traditional-0197,Servicio militar (Olympiodorus 1),Military Service (Olympiodorus 1),,Asc,Jupiter,Mars,normalizar360(Asc + Jupiter − Mars),normalizar360(Asc + Mars − Jupiter),reverse,O1,"MSL, MSP, MSV",Hellenistic,,,,pending_review,
198,lusby-traditional-0198,Amante femenina de un hombre,Mistress of a Man,,Asc,Jupiter,Moon,normalizar360(Asc + Jupiter − Moon),normalizar360(Asc + Moon − Jupiter),reverse,MSL,"MSP, MSV",Hellenistic,,,,pending_review,
199,lusby-traditional-0199,Amante femenina de una mujer,Mistress of a Woman,,Asc,Moon,Venus,normalizar360(Asc + Moon − Venus),normalizar360(Asc + Venus − Moon),reverse,MSL,"MSP, MSV",Hellenistic,,,,pending_review,
200,lusby-traditional-0200,Madre,Mother,,Asc,Moon,Venus,normalizar360(Asc + Moon − Venus),normalizar360(Asc + Venus − Moon),reverse,DS,"PA, FM, O2, MSL, MSP, MSV, GI, Q, R","Hellenistic, Medieval",,,,pending_review,
201,lusby-traditional-0201,Naturaleza de los planetas (Luna),Nature of the Planets (Moon),Duration of Rule 2,Sun,15 Cancer,Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,SB,"GI, JZ, Q","Medieval, Mundane",,,,unsupported_operand,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | 15 Cancer: Convención de grado ordinal frente a longitud desde cero no explicitada en el PDF; no convertir automáticamente.
202,lusby-traditional-0202,Naturaleza de los planetas (Sol),Nature of the Planets (Sun),Duration of Rule 1,Moon,15 Leo,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,SB,"GI, JZ, Q","Medieval, Mundane",,,,unsupported_operand,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | 15 Leo: Convención de grado ordinal frente a longitud desde cero no explicitada en el PDF; no convertir automáticamente.
203,lusby-traditional-0203,Navegación (helenística),Navigation (Hellenistic),,Asc,15 Cancer,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse,MSL,"GI, Q, R",Hellenistic,,,,unsupported_operand,15 Cancer: Convención de grado ordinal frente a longitud desde cero no explicitada en el PDF; no convertir automáticamente.
204,lusby-traditional-0204,Navegación (medieval),Navigation (Medieval),,Asc,29 Cancer,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse,MSL,"MSP, MSV",Medieval,,,,unsupported_operand,29 Cancer: Convención de grado ordinal frente a longitud desde cero no explicitada en el PDF; no convertir automáticamente.
205,lusby-traditional-0205,Necesidad (Firmicus),Necessity (Firmicus),,Asc,Spirit,Fortune,normalizar360(Asc + Spirit − Fortune),normalizar360(Asc + Fortune − Spirit),reverse,FM,,Hellenistic,,,,pending_review,
206,lusby-traditional-0206,Necesidad (hermética),Necessity (Hermetic),,Asc,Fortune,Mercury,normalizar360(Asc + Fortune − Mercury),normalizar360(Asc + Mercury − Fortune),reverse,PA,"O2, MSL, MSP, MSV","Hellenistic, Medieval",,,,pending_review,La categoría Hermetic no figura en esta fila; “Hermetic” aparece en el nombre. No se agregó a las categorías originales.
207,lusby-traditional-0207,Necesidad (persa),Necessity (Persian),,Asc,Mercury,Eros (Valens),Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (LJ),LJ,GI,Medieval,,,,conditional,Regla nocturna especial: reverse (LJ). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
208,lusby-traditional-0208,Necesidad (Valens),Necessity (Valens),Poverty & Middling Wit,Asc,Fortune,Spirit,normalizar360(Asc + Fortune − Spirit),normalizar360(Asc + Spirit − Fortune),reverse,VV,"FM, GI, Q","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
209,lusby-traditional-0209,Necesidad e impedimento de las necesidades (egipcio),Necessity & Hindering of Needs (Egyptian),,Asc,3rd,Mars,normalizar360(Asc + 3rd − Mars),normalizar360(Asc + 3rd − Mars),,GI,,Medieval,,,,pending_review,
210,lusby-traditional-0210,Necesidad y deseo,Need & Desire,,Mercury,Mars,Saturn,normalizar360(Mercury + Mars − Saturn),normalizar360(Mercury + Mars − Saturn),,GI,,Medieval,,,,pending_review,
211,lusby-traditional-0211,Némesis,Nemesis,Divine Punishment; The Heavy One,Asc,Fortune,Saturn,normalizar360(Asc + Fortune − Saturn),normalizar360(Asc + Saturn − Fortune),reverse,PA,"O2, MSL, MSP, MSV, GI, Q, R","Hellenistic, Medieval, Hermetic",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
212,lusby-traditional-0212,Némesis (Firmicus),Nemesis (Firmicus),,Asc,Fortune,Moon,normalizar360(Asc + Fortune − Moon),normalizar360(Asc + Moon − Fortune),reverse,FM,,Hellenistic,,,,pending_review,
213,lusby-traditional-0213,Lugar nocivo,Noxious Place,Accusation; Crisis-Producing Place; Burdensome Place,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Saturn − Mars),reverse,VV,"RE, O2, TE, GI","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
214,lusby-traditional-0214,Lugar nocivo (variante),Noxious Place (alternative),Accusation; Crisis-Producing Place,Mercury,Mars,Saturn,normalizar360(Mercury + Mars − Saturn),normalizar360(Mercury + Saturn − Mars),reverse,TE,MSL,"Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
215,lusby-traditional-0215,Número de hermanos,Number of Siblings,,Asc,Saturn,Mercury,normalizar360(Asc + Saturn − Mercury),normalizar360(Asc + Saturn − Mercury),,GI,R,Medieval,,,,pending_review,
216,lusby-traditional-0216,Frutos secos (al-Bīrūnī),Nuts (al-Bīrūnī),,Asc,Venus,Mars,normalizar360(Asc + Venus − Mars),normalizar360(Asc + Mars − Venus),reverse,B,,"Medieval, Commodity",,,,pending_review,
217,lusby-traditional-0217,Frutos secos (al-Qabīṣī; latín),Nuts (al-Qabīṣī Latin),,Asc,Mars,Mercury,normalizar360(Asc + Mars − Mercury),normalizar360(Asc + Mars − Mercury),,QL,GB,"Medieval, Commodity",,,,pending_review,
218,lusby-traditional-0218,Cargo,Office,,Asc,10th,Ruler 10th,normalizar360(Asc + 10th − Ruler 10th),normalizar360(Asc + 10th − Ruler 10th),,LJ,,Medieval,,,,pending_review,
219,lusby-traditional-0219,Cargo y ejecución de órdenes,Office & Carrying Out Orders,,MC,Saturn,Sun,normalizar360(MC + Saturn − Sun),normalizar360(MC + Saturn − Sun),,UT,,"Medieval, Weather",,,,pending_review,
220,lusby-traditional-0220,Cargo y rey,Office & King,Work and Authority,Asc,MC,Jupiter,normalizar360(Asc + MC − Jupiter),normalizar360(Asc + MC − Jupiter),,UT,R,"Medieval, Horary",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
221,lusby-traditional-0221,Aceite,Oil,,Asc,Moon,Mars,normalizar360(Asc + Moon − Mars),normalizar360(Asc + Mars − Moon),reverse,B,,"Medieval, Commodity",,,,pending_review,
222,lusby-traditional-0222,Aceitunas,Olives,,Asc,Moon,Mercury,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
223,lusby-traditional-0223,Cebollas,Onions,,Asc,Mars,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),QL,"B, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
224,lusby-traditional-0224,Oportunidad,Opportunity,,Asc,Sun,Saturn,normalizar360(Asc + Sun − Saturn),normalizar360(Asc + Saturn − Sun),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
225,lusby-traditional-0225,Resultados,Outcomes,Urgent Wish,MC,Ruler Asc,Lord of Hour,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,UT,B,"Medieval, Horary",,,,unsupported_operand,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | Lord of Hour: El proyecto no dispone todavía de un cálculo validado de horas planetarias.
226,lusby-traditional-0226,Desenlaces de los asuntos,Outcomes of Affairs,,Asc,Ruler Syzygy,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,GI,,Medieval,,,,unsupported_operand,Ruler Syzygy: Falta resolver la sizigia y confirmar el criterio de regencia de la fuente.
227,lusby-traditional-0227,Padres,Parents,,Asc,Moon,Sun,normalizar360(Asc + Moon − Sun),normalizar360(Asc + Sun − Moon),reverse,O1,,Hellenistic,,,,pending_review,
228,lusby-traditional-0228,Paz entre soldados,Peace Among Soldiers,Concord,Asc,Mercury,Moon,normalizar360(Asc + Mercury − Moon),normalizar360(Asc + Mercury − Moon),,UT,"Q, B, R","Medieval, Horary, Mundane",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
229,lusby-traditional-0229,Plenitud y abundancia de bienes en el hogar,Plenty & Abundance of Good in Home,,Asc,Mercury,Moon,normalizar360(Asc + Mercury − Moon),normalizar360(Asc + Mercury − Moon),,GI,,Medieval,,,,pending_review,
230,lusby-traditional-0230,Venenos,Poisons,,Asc,Saturn,North Node,normalizar360(Asc + Saturn − North Node),normalizar360(Asc + Saturn − North Node),,Q,"BW, GB","Medieval, Commodity",,,,pending_review,
231,lusby-traditional-0231,Poder,Power,,Asc,Saturn,Sun,normalizar360(Asc + Saturn − Sun),normalizar360(Asc + Sun − Saturn),reverse,FM,,Hellenistic,,,,pending_review,
232,lusby-traditional-0232,Prisioneros (día),Prisoners (Day),,Asc,Sun,Ruler Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,GI,,Medieval,,,,conditional,Condición indicada en el nombre; conservar y revisar por separado de la columna nocturna.
233,lusby-traditional-0233,Prisioneros (noche),Prisoners (Night),,Asc,Moon,Ruler Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,GI,,Medieval,,,,conditional,Condición indicada en el nombre; conservar y revisar por separado de la columna nocturna.
234,lusby-traditional-0234,Prosperidad,Prosperity,Peace-Making,Asc,Dsc,Sun,normalizar360(Asc + Dsc − Sun),normalizar360(Asc + Dsc − Sun),,RD,"B, R","Medieval, Mundane",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
235,lusby-traditional-0235,Legumbres,Pulse,,Asc,Mercury,Venus,normalizar360(Asc + Mercury − Venus),normalizar360(Asc + Venus − Mercury),reverse,B,,"Medieval, Commodity",,,,pending_review,
236,lusby-traditional-0236,Alimentos picantes,Pungent/Spicy Foods,,Asc,Saturn,Mars,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
237,lusby-traditional-0237,Castigo (helenístico),Punishment (Hellenistic),Justice,Asc,Saturn,Mercury,normalizar360(Asc + Saturn − Mercury),normalizar360(Asc + Mercury − Saturn),reverse,MSL,,Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
238,lusby-traditional-0238,Castigo (medieval),Punishment (Medieval),Recompense,Asc,Sun,Mars,normalizar360(Asc + Sun − Mars),normalizar360(Asc + Mars − Sun),reverse,GI,,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
239,lusby-traditional-0239,Compra 1A,Purchase 1A,,Asc,Mercury,Venus,normalizar360(Asc + Mercury − Venus),normalizar360(Asc + Venus − Mercury),reverse,O1,,Hellenistic,,,,pending_review,
240,lusby-traditional-0240,Compra 1B,Purchase 1B,,Asc,Venus,Mercury,normalizar360(Asc + Venus − Mercury),normalizar360(Asc + Mercury − Venus),reverse,MSP,"MSV, MSR",Hellenistic,,,,pending_review,
241,lusby-traditional-0241,Compra 2A,Purchase 2A,,Asc,Venus,Mars,normalizar360(Asc + Venus − Mars),normalizar360(Asc + Mars − Venus),reverse,O2,,Hellenistic,,,,pending_review,
242,lusby-traditional-0242,Compra 2B,Purchase 2B,,Asc,Mars,Venus,normalizar360(Asc + Mars − Venus),normalizar360(Asc + Venus − Mars),reverse,O1,,Hellenistic,Sí,,1B,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
243,lusby-traditional-0243,Medicinas purgantes y saladas,Purgative & Salty Medicines,,Asc,Moon,Mars,normalizar360(Asc + Moon − Mars),normalizar360(Asc + Moon − Mars),,Q,"BW, GB","Medieval, Commodity",,,,pending_review,
244,lusby-traditional-0244,Medicinas purgantes y ácidas,Purgative & Sour Medicines,,Asc,Jupiter,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
245,lusby-traditional-0245,Medicinas purgantes y dulces,Purgative & Sweet Medicines,,Asc,Moon,Sun,normalizar360(Asc + Moon − Sun),normalizar360(Asc + Moon − Sun),,Q,GB,"Medieval, Commodity",,,,pending_review,
246,lusby-traditional-0246,Purgantes (al-Bīrūnī),Purgatives (al-Bīrūnī),,Asc,Saturn,Mercury,normalizar360(Asc + Saturn − Mercury),normalizar360(Asc + Mercury − Saturn),reverse,B,,"Medieval, Commodity",Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
247,lusby-traditional-0247,Lluvia (anual),Rain (Annual),Consideration Concerning Revolution of the Year,Sun,Venus,Moon,normalizar360(Sun + Venus − Moon),normalizar360(Sun + Moon − Venus),reverse,SH,"B, Q","Medieval, Weather",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
248,lusby-traditional-0248,Lluvia (Ibn Ezra),Rain (Ibn Ezra),,Asc,Moon,New Moon,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse,BW,,"Medieval, Weather",,,,unsupported_operand,New Moon: Falta determinar el evento de referencia y calcular su longitud.
249,lusby-traditional-0249,Bienes inmuebles (al-Ṭabarī),Real Estate (al-Ṭabarī),,4th,Saturn,Ruler 4th,normalizar360(4th + Saturn − Ruler 4th),normalizar360(4th + Ruler 4th − Saturn),reverse,UT,R,"Medieval, Horary",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
250,lusby-traditional-0250,Bienes inmuebles (Hermes),Real Estate (Hermes),,Asc,Moon,Saturn,normalizar360(Asc + Moon − Saturn),normalizar360(Asc + Moon − Saturn),,GI,"Q, R",Medieval,,,,pending_review,
251,lusby-traditional-0251,Bienes inmuebles (persa),Real Estate (Persian),,Asc,Jupiter,Mercury,normalizar360(Asc + Jupiter − Mercury),normalizar360(Asc + Mercury − Jupiter),reverse,GI,,Medieval,,,,pending_review,
252,lusby-traditional-0252,Razón y profundidad de pensamiento,Reason & Depth of Thought,Deep Knowledge,Asc,Moon,Saturn,normalizar360(Asc + Moon − Saturn),normalizar360(Asc + Saturn − Moon),reverse,GI,Q,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
253,lusby-traditional-0253,Liberador,Releaser,,Asc,Moon,Syzygy,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,VV,"GI, Q, R",Hellenistic,,,,unsupported_operand,Syzygy: Falta determinar el evento de referencia y calcular su longitud.
254,lusby-traditional-0254,Religión/piedad,Religion/Piety,,Asc,Mercury,Moon,normalizar360(Asc + Mercury − Moon),normalizar360(Asc + Moon − Mercury),reverse,GI,"Q, R",Medieval,,,,pending_review,
255,lusby-traditional-0255,Recompensa 1,Reward 1,,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Saturn − Jupiter),reverse,O1,"MSL, MSP, MSV",Hellenistic,,,,pending_review,
256,lusby-traditional-0256,Recompensa 2A,Reward 2A,,Asc,Venus,Mercury,normalizar360(Asc + Venus − Mercury),normalizar360(Asc + Mercury − Venus),reverse,O2,MSV,Hellenistic,,Sí,,multiple_sources,Mult.: confirmada en múltiples fuentes según la compilación; no equivale a una comprobación nueva de los textos originales.
257,lusby-traditional-0257,Recompensa 2B,Reward 2B,,Asc,Mercury,Venus,normalizar360(Asc + Mercury − Venus),normalizar360(Asc + Venus − Mercury),reverse,MSL,,Hellenistic,Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
258,lusby-traditional-0258,Recompensa 3,Reward 3,,Asc,IC,Ruler IC,normalizar360(Asc + IC − Ruler IC),normalizar360(Asc + IC − Ruler IC),,MSV,,Hellenistic,,,,pending_review,
259,lusby-traditional-0259,Arroz,Rice,,Asc,Saturn,Jupiter,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),Q,"B, BW, GB","Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
260,lusby-traditional-0260,Arroz y mijo,Rice & Millet,,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,B,,"Medieval, Commodity",,,,pending_review,
261,lusby-traditional-0261,Lote real (al-Ṭabarī),Royal Lot (al-Ṭabarī),,Mars,Jupiter,Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (if Jupiter is stronger),UT,,"Medieval, Horary",,,,conditional,Regla nocturna especial: reverse (if Jupiter is stronger). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
262,lusby-traditional-0262,Lote real (Theophilus),Royal Lot (Theophilus),,MC,Moon,Sun,normalizar360(MC + Moon − Sun),normalizar360(MC + Moon − Sun),,TE,,"Medieval, Mundane",,,,pending_review,
263,lusby-traditional-0263,Gobierno y autoridad 1,Rulership & Authority 1,,Asc,Moon,Mars,normalizar360(Asc + Moon − Mars),normalizar360(Asc + Mars − Moon),reverse,GI,"Q, R","Hellenistic, Medieval",,,,pending_review,
264,lusby-traditional-0264,Gobierno y autoridad 2,Rulership & Authority 2,,Jupiter,MC,MC of Sun,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,RD,"Q, B, BW","Medieval, Mundane",,,,unsupported_operand,MC of Sun: Operando sin definición operativa en el PDF; requiere revisión.
265,lusby-traditional-0265,Gobierno 1,Rulership 1,,Asc,Venus,Jupiter,normalizar360(Asc + Venus − Jupiter),normalizar360(Asc + Jupiter − Venus),reverse,O1,"MSP, MSV",Hellenistic,,,,pending_review,
266,lusby-traditional-0266,Gobierno 2,Rulership 2,,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Saturn − Venus),reverse,MSP,"MSR, MSV",Hellenistic,Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
267,lusby-traditional-0267,Rumores,Rumors,,Sun,Ruler Asc,Lord of Hour,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,,PD,HC,"Medieval, Horary",,,,unsupported_operand,Lord of Hour: El proyecto no dispone todavía de un cálculo validado de horas planetarias.
268,lusby-traditional-0268,"Rumores, verdaderos o falsos","Rumors, True or False",,Asc,Moon,Mercury,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (GI, RB)",GI,"Q, B","Medieval, Horary",,,,pending_review,"Códigos sin entrada inequívoca en Sources: RB. No se expandieron por suposición. | Regla nocturna especial: reverse (GI, RB). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
269,lusby-traditional-0269,Venta 1,Sale 1,,Asc,Moon,Mercury,normalizar360(Asc + Moon − Mercury),normalizar360(Asc + Mercury − Moon),reverse,O1,"MSL, MSP, MSV",Hellenistic,,,,pending_review,
270,lusby-traditional-0270,Venta 2,Sale 2,,Asc,Mars,Venus,normalizar360(Asc + Mars − Venus),normalizar360(Asc + Venus − Mars),reverse,O2,"MSR, MSP, MSV",Hellenistic,,,,pending_review,
271,lusby-traditional-0271,Sal,Salt,,Asc,Mars,Moon,normalizar360(Asc + Mars − Moon),normalizar360(Asc + Moon − Mars),reverse,B,,"Medieval, Commodity",,,,pending_review,
272,lusby-traditional-0272,Cosas saladas,Salty Things,,Asc,Moon,Mars,normalizar360(Asc + Moon − Mars),normalizar360(Asc + Moon − Mars),,QL,GB,"Medieval, Commodity",,,,pending_review,
273,lusby-traditional-0273,Secretos,Secrets,,Asc,10th,Ruler Asc,normalizar360(Asc + 10th − Ruler Asc),normalizar360(Asc + 10th − Ruler Asc),,B,,"Medieval, Horary",,,,pending_review,
274,lusby-traditional-0274,Sésamo 1,Sesame 1,,Asc,Jupiter,Saturn,normalizar360(Asc + Jupiter − Saturn),normalizar360(Asc + Jupiter − Saturn),,Q,GB,"Medieval, Commodity",,,,pending_review,
275,lusby-traditional-0275,Sésamo 2,Sesame 2,,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Venus − Saturn),,Q,B,"Medieval, Commodity",,,,pending_review,
276,lusby-traditional-0276,Propiedad de barcos,Ship-Owning,,Asc,Mercury,Saturn,normalizar360(Asc + Mercury − Saturn),normalizar360(Asc + Saturn − Mercury),reverse,O1,"MSP, MSV",Hellenistic,,,,pending_review,
277,lusby-traditional-0277,Hermanos,Siblings,Brothers,Asc,Jupiter,Saturn,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,"reverse (VV, FM, M)",DS,"VV, PA, FM, O2, MSL, MSP, MSV, BA, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,"Códigos sin entrada inequívoca en Sources: M. No se expandieron por suposición. | Regla nocturna especial: reverse (VV, FM, M). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa."
278,lusby-traditional-0278,Hermanos (Firmicus),Siblings (Firmicus),,Asc,Sun,Mercury,normalizar360(Asc + Sun − Mercury),normalizar360(Asc + Sun − Mercury),,FM,,Hellenistic,,,,pending_review,
279,lusby-traditional-0279,Hermanos (persa),Siblings (Persian),,Asc,Mars,Ruler Asc,normalizar360(Asc + Mars − Ruler Asc),normalizar360(Asc + Mars − Ruler Asc),,JZ,,Medieval,,,,pending_review,
280,lusby-traditional-0280,Seda,Silk,,Asc,Venus,Mercury,Pendiente/no aplicable: ver reglas,Pendiente/no aplicable: ver reglas,reverse (B),B,GB,"Medieval, Commodity",,,,conditional,Regla nocturna especial: reverse (B). Requiere seleccionar y validar su alcance antes de producir una fórmula operativa.
281,lusby-traditional-0281,Hermanas,Sisters,Death of the Mother (Latin),Asc,Saturn,Venus,normalizar360(Asc + Saturn − Venus),normalizar360(Asc + Venus − Saturn),reverse,Q,,Medieval,Sí,,,dubious,Dub.: fórmula dudosa o fuentes conflictivas según la compilación; desactivada por defecto.
282,lusby-traditional-0282,Hermanos (cantidad),Sliblings (Number),,Asc,Jupiter,Mercury,normalizar360(Asc + Jupiter − Mercury),normalizar360(Asc + Jupiter − Mercury),,DS,"BA, SB, GI","Hellenistic, Medieval",,,,pending_review,"Se conserva el nombre inglés del documento, incluidas sus grafías; la traducción es editorial y revisable."
283,lusby-traditional-0283,Soldados y policías,Soldiers & Policemen,Soldiers & Conscription,Asc,Saturn,Mars,normalizar360(Asc + Saturn − Mars),normalizar360(Asc + Mars − Saturn),reverse,GI,,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
284,lusby-traditional-0284,Yernos,Sons-in-Law,In-Laws,Asc,Venus,Saturn,normalizar360(Asc + Venus − Saturn),normalizar360(Asc + Venus − Saturn),,GI,,Medieval,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
285,lusby-traditional-0285,Libertad del alma,Soul's Freedom,,Asc,Sun,Mercury,normalizar360(Asc + Sun − Mercury),normalizar360(Asc + Mercury − Sun),reverse,GI,,Medieval,,,,pending_review,
286,lusby-traditional-0286,Alimentos ácidos,Sour Foods,,Asc,Mars,Saturn,normalizar360(Asc + Mars − Saturn),normalizar360(Asc + Mars − Saturn),,Q,"BW, GB","Medieval, Commodity",,,,pending_review,
287,lusby-traditional-0287,Siembra,Sowing,Conception,Asc,Mars,Sun,normalizar360(Asc + Mars − Sun),normalizar360(Asc + Sun − Mars),reverse,MSL,,Hellenistic,,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web.
288,lusby-traditional-0288,Espíritu,Spirit,Daimon; Fate; The Hidden,Asc,Sun,Moon,normalizar360(Asc + Sun − Moon),normalizar360(Asc + Moon − Sun),reverse,VV,"VV, FM, PA, O2, MSL, MSP, MSV, SB, GI, Q, R","Hellenistic, Medieval",,,,pending_review,El PDF muestra ⓘ pero no contiene el texto emergente ni anotaciones con su contenido. No se reconstruyó la nota web. | La fuente primaria se repite también como secundaria en el PDF; se conserva sin eliminarla.
